DetailURL,Space,Name,Penname,Genre,ImageURL,WebURL,GenreFreeFormat
https:/techbookfest.org/event/tbf04/circle/18260004,き21,date-refinement（データリファインメント）,カレーちゃん,科学技術,https://lh3.googleusercontent.com/Jf68IC4IQfwK5pyqdvML22pc-E0H29i_hBe3NE4SmAuR2H4W7F4wCqH8tKhao6AWTzjXY03bvX9DExWX5Jp45g,http://www.currypurin.com/entry/2018/04/20/085927,Kaggleをやってみたい方、機械学習をやってみた方を対象にした本です。機械学習を使えるレベルになるには実戦から入るのが一番だという思いがあり、Kaggleというデータ分析のコンペサイトで実践を積むのが一番近道だと考えています。Kaggleのサイトは英語であるため、少し敷居が高いですが、この本を読めば、チュートリアルコンペであるタイタニックコンペへのサブミット（データの提出）を通してKaggleで何をしたらいいかということは間違いなくわかるように書きました。著者自身もKaggleを始めたての身ですが、今後も一緒にKaggleをやっていきたいと思いますので、是非この本を手にとっていただき、一緒にKaggleに挑戦しましょう！他には、もう１冊は「技術をお金に変える=錬金術」というテーマの本を頒布します。たくさんのメンバーで書いており、良い本に仕上がっています。試し読みがありますので、是非試し読みしていってください。
https:/techbookfest.org/event/tbf04/circle/15570003,き22,サブカルクソ河童（サブカルクソカッパ）,SAWADA Ryoto,ソフトウェア全般,https://lh3.googleusercontent.com/heEapU_AkSB1BYO-8Q5lFxhN_YEBFvChEnFxjsFUgKz_TYcz4ydEyn5eTrJUc6XyEG_YB9WaqIXzeqidxoWn,https://twitter.com/Qhapaq_49,将棋電王トーナメント入賞ソフトであるQhapaq開発者による将棋ソフトの最近の流行と、少ない計算資源で学習を成功させるための開発手法に関する解説です（電子書籍での頒布を予定）
https:/techbookfest.org/event/tbf04/circle/11680003,き23,日本 openSUSE ユーザ会（ニホンオープンスーゼユーザカイ）,ftake,ソフトウェア全般,https://lh3.googleusercontent.com/z03qBYvjksdIFsQn_K1FHQ003yJc_26FIfUC40YnIzKKVq2hKtIfzJB09tL1wi13CUzKEZlXeBHzodLfsWDtYQ,http://opensuse.geeko.jp/,日本 openSUSE ユーザ会のメンバーが集まって執筆した同人誌 Geeko Magazine を頒布します。インフラレイヤーからアプリケーションまで、Linux 関連の記事を幅広く扱っています。
https:/techbookfest.org/event/tbf04/circle/11950009,き24,しょぼんブログ（ショボンブログ）,YUKITO KATO,ソフトウェア全般,https://lh3.googleusercontent.com/QSS054jnSKyOxXymjsgu-hYQilWn0Ad0LtXWm4ogqghJsZFH8ahpOB5d7m5jHnefM9ArnopYrtPPXVAEODXrwQ,https://syobon.jp,Windows Serverで動作するSystem Center Configuration Manager 2016のインストール解説本です
https:/techbookfest.org/event/tbf04/circle/19320001,き25,Ginza.rb（ギンザアールビー）,ken1flan,ソフトウェア全般,https://lh3.googleusercontent.com/eEBqbB4VruitZVjbSKBxgncpVpCZDsmmKZH522RshW85nf95l99kR1ySGX_OVF39DVgBbc8t5_k4t_e4MWso,http://ginzarb.github.io/,ginza.rbミートアップ募集ページイラスト集、軽量WebフレームワークRodaの本
https:/techbookfest.org/event/tbf04/circle/17460001,き26,みさきとミギー（ミサキトミギー）,youchan,ソフトウェア全般,https://lh3.googleusercontent.com/VUL_a9oSYX6c0qmU6109JZ_0_7Jh2QZKAB3sNju1v6Lb7VfBHxUS3wzuxTpk02wT-m7AwkihpimpUB3QTrcV,http://youchan.org,RubyのiSeqについて解説する本を頒布します。
https:/techbookfest.org/event/tbf04/circle/19330004,き27,どらやきもなか（ドラヤキモナカ）,もなかさん,ソフトウェア全般,https://lh3.googleusercontent.com/3UfrIk-djglqN6ptgA7BbvXfa76_C2DKesc1Vi6HehEQ2eZbf9PZuGmvlorVQ8ihfatuoV1Va_lIAx-OA4w,,Ruby でプログラミングしていると、同様の結果を得ることのできる複数の書き方が頭に浮かぶことがあります。そこで、より速い Ruby のコードを書くためのイディオムを、ベンチマーク、速さの理由である実装の解説を添えて紹介します。
https:/techbookfest.org/event/tbf04/circle/19330006,き28,SatisFactory（サティスファクトリー）,SatisKia,ソフトウェア全般,https://lh3.googleusercontent.com/otdk4o2JYX2_Pv1tK2hAnjl5gkwt_a51UY1AtqQhBO52ruihF_kLUVsEaRLt4BCi-v8UtbmvtoIJTVecUXjV,http://www5d.biglobe.ne.jp/~satis/,オリジナル言語の仕様解説書
https:/techbookfest.org/event/tbf04/circle/20040007,き29,EREX工房（イレックスコウボウ）,夜道,ソフトウェア全般,https://lh3.googleusercontent.com/DSxa4l-XDyBM2cBmAqFg13pcUEdO0jUdkVdRHj7nycdB88e2sT94lAnxYC4sZEaLxO-WHp9GnVvhecaGVz3p,,プログラミング言語Julia に関する技術書（入門書）を執筆・頒布する予定です。
https:/techbookfest.org/event/tbf04/circle/18410004,き30,錬金術師組合（レンキンジュツシクミアイ）,"hayabusa333, darui_kara",ソフトウェア全般,https://lh3.googleusercontent.com/qpbuXKMw6I47k29kotjsR5ftcb5rZFpqNkUmC3Ea7UcVhdBIkltP36mAlNp8SJkvT9hLXuKabzkumRKbMuKouA,https://eifie-atelie.herokuapp.com/,プログラミング言語Elixirに関する本
