Penname,Genre,DetailURL,Space,ImageURL,WebURL,GenreFreeFormat,Name
erukiti (えるきち),ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47010003,あ15,https://lh3.googleusercontent.com/_sr-R6OmJ0he3c12VCFfq0H_5MZOHWs8DE40MEbeC2ZvneUj0ed8W2_IllyUntq75gNNsQ0_p-SkWTlPakZT,https://rabbit-house.tokyo,1. JavaScript本(フレームワークを作ってPWA/ElectronなどをUniversalに作る過程を説明する本) 2. deno本(Rust/Go+V8、組み込みJavaScriptエンジンの応用例、可能性など) 3. 論理国家としての論理日本を作る本（ブロックチェーン、V8ベースのスマートコントラクトによるベースシステム上に、JavaScript/TypeScriptで書かれたスマートコントラクトとしての論理日本を作るという本) 4. 錬金術Meetup合同誌 Alchemist Vol2,東京ラビットハウス（トウキョウラビットハウス）
ふーか,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/37230004,あ17,https://lh3.googleusercontent.com/BsTkC_wttBu7kggw9W7qIZ1lpshpfNm01PbEmRV9wJa1xVUl5uTq08OxOoNwiYx7aFBZr53qLTMSnCNpVt8,https://huhka.com/,技術書典5新刊予定の『どこからでもVPNリモートアクセスする本』は どこからでも自宅にリモートアクセスしたい…ハズｗ でも「自宅に固定IPなんて無いよ」…そんな時はクラウド上でやっちぇ！ でもって、自宅や作業場所などの各地を拠点間VPNで接続して便利に使おう という本です。 C94既刊『Google Homeにおしゃべりしてもらう本』 技術書典4既刊『Raspberry PiとGoogle Homeで赤外線リモコンをアレでナニする本』 C93既刊『無線LAN中継器を自作する本』 も持ち込む予定です。,huhka.com（フーカコム）
mya-ake,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30190004,あ18,https://lh3.googleusercontent.com/4e_DVIN_sY5UwMO3Ivr5wJkQZzlMNR02rM5CKCPFQtHFgxFoCICIQnacRkIKhm--_rAfeY3fTlKuakMJ-7IM,https://neko-note-help.booth.pm,「Try PWA!」「知らないと損するChrome Developer Tools」「マテリアルデザインをかじる本」の3冊の新刊と前回の既刊の DL カードを頒布します。,neko-note（ネコノテ）
湊川あい,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47000003,あ20,https://lh3.googleusercontent.com/TrrXb4-dwgyqjBnncEmHEKCEJhfw07DO0KcQ7_K2TYONjj_iAc-eo61fPdWWx-rDTXlmzNqjFKnq5Tk72ZpGxQ,http://webdesign-manga.com/,新刊「マンガでわかるDocker②」と、新刊「告白で学ぶHTTPステータスコード（ギャグ漫画 52p）」を頒布。@youchanさん著の新刊「猫と森羅と日本語とRuby」も頒布。「マンガでわかるWebデザイン 設定資料集」や、オリジナルキャラクターグッズ、商業本「わかばちゃんと学ぶシリーズ」もございます！,湊川あいの、わかば家。（ミナトガワアイノワカバケ）
風野旅人,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/41220014,い01,https://lh3.googleusercontent.com/YUCq6o5jg53D_CbauTS0rK8oArdmy9qlPE689fRtTJ6uUmR8CuskB7yLMY7cUh7FBofHKTY1WZWmROn06Zk,http://tokimi.sylphid.jp,文庫本作成ツール・威沙の最新版の頒布、及びこれまでの開発の話を書いた本を頒布する予定。,Sylphid Software Systems（シルフィードソフトウェアシステムズ）
CAS,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/33030001,い02,https://lh3.googleusercontent.com/yM5YlDEH6KVk1nnzfoEACysTZpOdC5rfT8r-0PdvVrna1Yr6a1beg9COK-ZdPou5ZupOkThnM9MN6j1r6_7v,http://www.cas-ub.com/index_ja.html,PDF CookBook、PDF CookBook2、タグ付きPDF、PDFインフラストラクチャ解説、XSL-FOの基礎、スタイルシート開発の基礎、DITAのすすめ【第3版】、MathML数式組版入門,アンテナハウスCAS電子出版（アンテナハウスキャスデンシシュッパン）
ぬっきぃ,その他,https:/techbookfest.org/event/tbf05/circle/30480004,い03,https://lh3.googleusercontent.com/OVpIAZodmdiv7rHmesUZ1FQ4HdOKTbaxAy4ecbJIupi6cr03N2Q7t4k1rVF_sL2rW6XqDb9s8UfmpLisb0g,https://tech-tech2017.amebaownd.com/,取扱説明書を作る上でのテクニカルライティング技術とテクニカルイラストの技術本,テク・テク団（テクテクダン）
niszet*,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51190003,い04,https://lh3.googleusercontent.com/NbuVwQgfW8UZcAFNEtczIAMB_GeHGyM6KboT18g7bm31H_KcRwpS4jcCKlSMcBJ9DTBR2TNMkVlCJX0cVVEQzA,,R言語を使ってWord文書を作成する,niszet工房（ニスゼットコウボウ）
わかめそば,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29550001,い05,https://lh3.googleusercontent.com/TjfdRhBjrWDMmWRVaNc9UC3QleJwnnngctjbtGO2eeAJcQNLhW9-LGjlx90OIgJwt0LCL92Bu-Z9YMG-iyQn,https://www.wakamesoba98.net/circle/,Linux TeX LaTeX,53鍵盤（ゴジュウサンケンバン）
TomOne,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35220004,い06,https://lh3.googleusercontent.com/Y46nM8RQC8hPYnyLjFCu-2QvL49iHjdROHPfeqIB067sMiH3HhZZug_8VcYYfrHjw9JnpDQyTfJ7kKoUgj3T,http://p-act.sakura.ne.jp/,LaTeXによる小説組版。,PARALLEL ACT（パラレルアクト）
