Penname,Genre,DetailURL,Space,ImageURL,WebURL,GenreFreeFormat,Name
熊谷 友宏,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/37030001,う63,https://lh3.googleusercontent.com/oztWLFMmzlPST4RSkgqGzroYV8S3xyWTtpL7l9GNcoE4lgd23Vpda0s3cePMotuwEUDY6D3c8QSgB6Ip7I8,https://ez-net.jp,"Swift 言語の基本的なところを綴った本を頒布します。Swift を使ってコードを書く ""ユーザー"" 側に向けた、言語仕様の紹介本です。",EZ-NET（イージーネット）
letsspeak,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28580001,う64,/assets/images/dummy_cut.png,,Server Side Swift で React を使った Server Side Rendering する Webアプリケーション を Amazon ECS 経由で CI 構築する方法の本などを頒布します,プレミアムエブリデー（プレミアムエブリデー）
堤 修一／北 祐介,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25910002,う65,https://lh3.googleusercontent.com/4ui0aHeDPxstjL8cpsfUZ-tCoANbhVc58-4oF3P8IrYTdb0yO7S36kZK3Zv0G-XMigLTeLwaIGLJsJvdQPbz,http://shu223.hatenablog.com/,Swiftコンパイラの解説書（北）、iOSのARKit、Metalの解説書（堤）,堤and北（ツツミアンドキタ）
さとう,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25700001,う66,/assets/images/dummy_cut.png,,"iOS, swift,SpriteKit",おかもちもち（オカモチモチ）
LIDELL開発部,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28720003,う67,https://lh3.googleusercontent.com/VrYkOFw0QMmhgDhU1OlJPJ3f2fDIsyHqarxFlGMk1m-Cb4L5rgiDecMMxDRbgXsIZJMnZ-9GJziV4Nj-sbrP9w,https://liddell.tokyo,会社で採用している技術や知見についてのオムニバス本(Rails、swift等中心),LIDDELL開発部（リデルカイハツブ）
コバヤシタスク,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/39130001,う68,https://lh3.googleusercontent.com/LdxnTo1nLRtKzt26356Wc4HwQlMwlEEEeza9bW6AooAZn2mQ1ihxK2RnB_FrSb7BFjrNrwcwdZDtX_9kkED-,,スマホアプリ、グローバルサービス、React  Native、Swift、Kotlin,Mewcket（ミューケット）
サナウー,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47080001,う69,/assets/images/dummy_cut.png,,"dart,モバイル,web",茶しぶ（チャシブ）
neonankiti,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/26810001,う70,https://lh3.googleusercontent.com/sNF8z4NAivvdrVabhSqECtjy4oquDo6wAYL5ahXkuipRR0E_toFXYw7cpOHuTkVBSSBkQ12Gt6aCVZsixy46aA,,Flutterの解説本を出します。,牛だけどなんか質問ある？（ウシダケドナンカシツモンアル）
ggtmtmgg,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35220001,う71,https://lh3.googleusercontent.com/W1aZ6tXfwLb4H6kvPlOoatrPSmHl1PiMl4HJZAziD4_zbgBngRGMjgtI0TLgrgmKlaujJyjtJ7vS1CBDm1BX,,React Nativeを使ったアプリケーション開発,ReactNativeLT（リアクトネイティブエルティ）
さく,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25700005,う72,https://lh3.googleusercontent.com/JYzL6tWuDUkLt2c8GPf7FHDv84ZovoDysdviRWR4ImgQWWiT0VuqWicAK-SCe8n0MLUnbqhWWeJZtLsGnEri,,NativeScriptを使ったモバイルアプリ開発のTipsをまとめた本を頒布します。,Indigo Algorithm（インディゴアルゴリズム）
karamage,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35090002,う73,https://lh3.googleusercontent.com/64OaYG1G869LTheEE773Xgi6tishkFPJrwe2J-ULdEzzTyz-zE0-lhAJ-EDk6LHPm2lJf0zBc8Oju7QQJF3vdQ,,React Native でiOS/Android アプリ開発の入門書,からまげ＠うまうまだよもん（カラマゲアットウマウマダヨモン）
このすみ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/39040001,う74,https://lh3.googleusercontent.com/oSsbWqo9NFRXlYbaUgrZYpuKx04PcbG9pGENA8AR1eTgqpcFrlVIQBozaH5cpPaOg-591Nnk8OuJ1LBl_bA,https://www.konosumi.net/,React nativeの入門書、もしくは自分自身のエンジニア経験を元にした、エンジニア失敗談を書く予定です。「間違ってDBを全消ししてしまった！」とか「メンテナンスするサーバを間違えた！」など。,このすみ堂（コノスミドウ）
januswel,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25740001,う75,https://lh3.googleusercontent.com/egmBVyGUyeJuJistWxmRQcjgTzxFv0j_M_sLb2lEY3fzjxFIau9uC5LLjYXnfA8G6iU513bU0y54VTy6SUKF,https://legio.booth.pm/,React Native でアプリを開発できるようになった方向けに、知っていると嬉しい情報をお届けする React Native Extra Reactions シリーズを頒布,legio（レギオン）
なかざん,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49310007,う76,https://lh3.googleusercontent.com/zMR-06tc32-LM7T8rgo3r3srkuX7ZJLzE8EolyEonYqCU5izzOHO5SgsJ0HG5u6ARaE5--Agjijcv2prL4vs,,React Native（＋Web）本と、Netlify本の二本立てです,越後屋（エチゴヤ）
おず。,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53210012,う77,https://lh3.googleusercontent.com/qw9UeA1rOL9n-Cj1bZjiRirmNGekDnZtld38utrtk5WFj5djXY68Woxv01_CNR5nvvIRjU7P5b1uuSAsib8,https://twitter.com/14__oz,React Nativeについてです。私がAndroidの開発経験やJSの経験もなしの状態で１年ほどプロジェクトに携わって得たものを中心に徒然と書いていこうかと思います。基本的に詰まったこととか最近ハマってるReactNative内容とかになると思われます。,星屑の海処の点（ホシクズノウミガノテン）
"Mono/Poly, Xamaritans",ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53050001,う78,https://lh3.googleusercontent.com/Ajk2P-PpPGLbUZPy8axtnFymxs_hujNfv18kqIpA7lxLmIII2ZwEmRdyi8B6n25EZu-eEsQHMoK6kcmNCxCQ,https://atsushieno.github.io/xamaritans,"音楽技術, dotnet, xamarin","Mono/Poly, Xamaritans（モノポリーザマリタンズ）"
shanon,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49010002,え01,https://lh3.googleusercontent.com/2027gvB3dGFlCaZ0S680tIF2_sC24TS92NmINO3ocDs3VaevXKPhdWIxYmnDN9h9Xu8vBxvlYjAqlUesolEBjA,https://shanonim.booth.pm/items/830126,Android Things 総集編（予定）,しゃのラボ（シャノラボ）
yamacraft,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/45110001,え02,https://lh3.googleusercontent.com/ErBe2G-u7VJQWlTO8Eo9genYLxcLkkXFzN7OV7VxGeEH-Mz7n212DUl9bjpflbGE0K4F1pND6G9YxH7HOEmN4A,https://yamacraft2.exblog.jp/,Android、Firebaseを中心としたプロダクト開発の技術書、並びにそれらに関連した運用ノウハウ本を頒布予定,team Y.G.E.（チームワイジーイー）
kgmyshin,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25700003,え03,https://lh3.googleusercontent.com/sDyBaAmaXrw06ZT7bdA7vFJC1ChHktPhNf2oEU7OtyQDP4XeTI3XHSaOdF0MU14TCiQC0zz6k-hgQKIVwF4y,https://kgmyshin.booth.pm/items/837226,Android系の本を頒布します。2018年のGoogle IOで発表されたJetPackをどうプロジェクトに取り込むのかというテーマで書く予定です。,KUGIBAKO（クギバコ）
やっこ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/28400001,え04,https://lh3.googleusercontent.com/QCHYprA8sGZps7KTC1c_Q7VSafXlxvOlPqhOemJDF8MbrZHQ2C_8P0HXoWU318b27lZnlBQIbQX3yyKtv3g,http://dot-lab.xyz/,Android ホーム画面・ウィジェットカスタマイズ,.lab（ドットラボ）
kuluna,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35220006,え05,https://lh3.googleusercontent.com/nKKjioo_mWz7UVVS-r0KbaslFsscV0_CQwfy4APwL6CZ-lTqD7cBfLys8lsprX-kN17FoliCib7JXF68GRgL,,"Androidプログラミング, Data Binding",kuluna.class（クルナクラス）
KC,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27590001,え06,https://lh3.googleusercontent.com/Quo_x73Pp9uGXR-sfBHOSI0hgUDyYnAeuFScc4PpEKJas0YZ7wagjgYZnxulf6vr9JRO4Axhj76LBEm5Z11w,,TwitterクライアントアプリをAndroid Studioで開発する本。JavaとKotlin両方で書く予定です。,くり返す日常（クリカエスニチジョウ）
こまたつ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/31060006,え07,https://lh3.googleusercontent.com/n5tIclT8Ygh5jvq31VnhgsviEL7IfnnnApsAv3nY1ZOj_kGuY-f876hFxYQ9UHY5T9S3kd-gzoGfFRqG4bjY,,カンファレンス受付をAndroidアプリを使っていい感じにやる本を出します,コマタツ警備保障（コマタツケイビホショウ）
masahide318,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25860003,え08,https://lh3.googleusercontent.com/ZU5SSgBqE-RiGkCrn9f2DMp4fhE6WmhSRw4wQn0yUAwKHXMauJrEXSKprzBC3qOLur0eZQChDJOjGgOBq4RX,,Androidアプリレガシコード改善ガイド,おなかぷよ（オナカプヨ）
Oisix Tech Lab,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/55010005,え09,https://lh3.googleusercontent.com/ly9I_3GdiVNylGtET_slg7MseMH3DN7_KJQWX1UumvK5Hx_dpdPihQV2Z6EzkqdcZOQV_c3-F1bOIMXd5SzL,,Oisixのエンジニアがサービス開発に関するいろいろを書きます（iOS / Android / Infra tech etc..）,Oisix Tech Lab（オイシックステックラボ）
CAネイティブ愛好会,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51250009,え10,/assets/images/dummy_cut.png,,"CyberAgent, Inc.のiOS / Androidアプリケーションエンジニアの愛好会による技術書です。",CAネイティブ愛好会（シーエーネイティブアイコウカイ）
meronmks,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51120001,え11,https://lh3.googleusercontent.com/OM7LUvkn-rFiwdi5XMDWP82i-O_HTWT6_gU59fMi97IY_nAy60k0dtntRyPi5ZWzsi--AdsweA5CT2YUFlLKzQ,,KotlinでのAndroidアプリ開発記,天上工作小屋（テンジョウノコウサクコヤ）
7gano,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35070001,え12,https://lh3.googleusercontent.com/LK1S-RL1AW6h_bgHM84kW1eoRWysLmER4teZ_IdaiSKvVBGYc24svoY-j7ht_2L7FfDMvv-7lcVEwswgio9y,https://peaks.cc,iOS/Android/暗号通貨,PEAKS（ピークス）
山下 大輔,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/43030001,え13,/assets/images/dummy_cut.png,,(ios/android)アプリ開発について,@daisuke0131（アットダイスケゼロイチサンイチ）
fumiyasac,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29440001,え14,https://lh3.googleusercontent.com/jtt5-lzMH5zyaNSW2iX1iUPgmhWQEvNoMx-fhwmU9w6Wy_-_fa2x8jOUkyEquGgVDyyAQT2DOUgXesW-B-uy,,iOSアプリにおけるUI実装時の役立つテクニックやデザインから扱いやすい部品化の過程、さらに心地よいインタラクションを実装するためのヒントとなる部分をご紹介できればと思います。,Just1factory（ジャストワンファクトリー）
d_date,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27490001,え15,https://lh3.googleusercontent.com/AIcau4wftiVwFvxqG9yXFvHKZszwy2jHcvnQX1mR7I6qRLMqBkM3DFH5QGo0kTiVf53Hpl0xoXsfhnkhCqD_,,iOSアプリで使えると役に立つ周辺ツール・サービスや、言語仕様にフォーカスした本を出しています。Firebase本既刊アップデート、Open API Spec本新刊予定です。,焼きりんご（ヤキリンゴ）
のっぺ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/33160007,え16,https://lh3.googleusercontent.com/t2lYjzGXY52Z3VP2Fm_8C1ZNWSusQYleiTlSyYQrXQ-fSpB17OBYZ-qZh4mhwmyGMFpjYx3jtVpYeaEBFFSW,https://github.com/noppefoxwolf,iOS/Swift,noppelab（ノッペラボ）
のっち,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24960001,え17,/assets/images/dummy_cut.png,,初めまして。私UIデザイナーの井上涼介と申します。以前は株式会社オハコというデザインカンパニーでUIデザインに従事し、現在はフリーでUIデザインを行なっております。また同時並行でswiftの学習も行なっており、フリーのiOSエンジニアの元で開発の手伝いをしております。開発に携わる中で、デザイナーも少しswiftのことがわかれば、プロトタイプをXcodeを使って行なったり、アニメーションの実装を行うことができたりすることがわかりました。一方でデザイナーはコードに対しては「やりたいけどとっつきにくい」と感じている人が多く、私のようなswiftを学習したデザイナーであれば、デザイナーがよく使う（費用対効果の高い）開発部分に関することについて書くことができ、これによってデザイナーとエンジニアの距離を縮めることができるのではと考えました。書きたいこととしては、「デザイナーがエンジニアの手間を取らずにある程度のレベルのデザインを実装できる」を実現することが目標とし、デザインを作るためのstoryboardの使い方や、デザイナーがすでにAfterEffectで作成したアニメーションを組み込むための手順、基本的なコンポーネントの扱い方などとなります。何卒よろしくお願いいたします。,のっち工房（ノッチコウボウ）
カビゴン,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/32370005,え18,https://lh3.googleusercontent.com/BHlPU0O7KoxVUzXC2lGdaFKPEVwON164GPa7ByNkQoOigFtFayi5O-Ww_JLxyXzZJJ_pEmRU8-5bvIrbDtCYUw,,iOSアプリ（Iot的な事を書いた既刊も出します）,すいすいSwift（スイスイスウィフト）
satoshi0212,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24850001,え19,/assets/images/dummy_cut.png,,iOSを中心とした技術まとめです。動画やアニメーションなど深掘りします。,Shibuya Hackers（シブヤハッカーズ）
カムイ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30180004,え20,/assets/images/dummy_cut.png,,iOS,神威計画（カムイプロジェクト）
Hi_king,科学技術,https:/techbookfest.org/event/tbf05/circle/26850012,え21,https://lh3.googleusercontent.com/Kl2ZE7u0FtHBrfydZ7-rlwoqfS4s6i0FekZ3aAO_AYq_VelWwIn69QhuZeyeZs8wkCzq5pROENYysJl9c30QYQ,http://signico.hi-king.me/,機械学習・統計を用いてアニメ・イラスト等サブカル系幅広く分析,signico（シグニコ）
うどん,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/24740002,え22,/assets/images/dummy_cut.png,,深層学習(Goodfellow GAN10選論文のまとめ),ボタク（ボタク）
もっさん，はぎえもん,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27650001,え23,https://lh3.googleusercontent.com/JIkkaFJoyH2IHue1f5_-vPz5IeVS2wvLJ8sJn2v-N2eYHI_D4iY7c0sTRXngmfvCz3a0_p7dkyxI4OtQoie1_Q,https://yktsr.github.io/,セキュリティ，機械学習，Docker，対話システム,電気羊（デンキヒツジ）
cpaw,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27730003,え24,https://lh3.googleusercontent.com/s5rn1r6p0C7FYE4niBOkxKNxaV2Con_Dy4-nIggR8pVVEcDPbs3fd_oALIlZmJZeaGAEuslcoCd-HT4dySRQ,https://www.cpaw.site/2018/04/24/%E6%8A%80%E8%A1%93%E6%9B%B8%E5%85%B84/,サークルメンバー達によるセキュリティについての知見集。既刊は、機械学習xセキュリティ、Rust本です。,Cpaw（コポウ）
code geacc,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27730008,え25,https://lh3.googleusercontent.com/IOQZG7f3eH4-L1YtasZYy8Uwdsa5mLgW07bw4FTU4DH5-Ra9Mz3XU8TcxNgHmkwaANRTwIxx6JjC8lgZjboZ,,画像解析のアプリケーションを作成して、学習データと共にクラウド上に配置して運用する方法を解説する本を予定しています。深層学習フレームワークとしては Microsoft Cognitive Toolkit を、クラウド基盤には Azure を想定しています。,code geacc（コードギアック）
tomo-makes,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/30510005,え26,https://lh3.googleusercontent.com/cwdulI-clahi4gUmtKortAEI23pTR-f91anYcZ2xEmrF2Oi18EaOaUyuQjzcez732U5YBpqQDDzCexKjgzVcnA,https://qiita.com/tomo_makes,機械学習/深層学習チュートリアル,tomo-makes（トモメイクス）
michele_lap,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/37010001,え27,https://lh3.googleusercontent.com/VSVe73jIee9Q0IJRsB7hpTT-WTRRnT49fvYsjcDVgnRNbKKC9xFInplFA1OHPrx_1djoiUuSTb2VuWTPaoUobw,https://michele-lap.azurewebsites.net/arcam.html,ロボット制御，LEGO EV3，Arduino，機械学習，IoTなどの各種成果をまとめた合同誌,アーカム研究所（アーカムケンキュウジョ）
醬油,ハードウェア全般,https:/techbookfest.org/event/tbf05/circle/43000001,え28,https://lh3.googleusercontent.com/G1W1CQkBqR4BLfQ3rrIkQR8sZn5b4SMKIdpWhr_qH9LWKtZCmS8SM9zmVCTRbI41QWFd6H-UaEHLPAk41yiJ,,深層学習ハードウェアサーベイ,Thinking Machinez（シンキングマシンズ）
一条和城,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49280003,え29,https://lh3.googleusercontent.com/SdvBu14Lf57KoZCa5krDiJQgEZQJ4Oe6hZid9jtQl_gkiHd2hFOFSwm2Ei0kDgwW3u59-skoBxbZJyNAV3gP,https://utatane-i-k.booth.pm/,AMDのGPUを使ってCuda言語で書かれた流行の深層学習系MLフレームワークを動かしたり各種GPGPUアプリを走らせたりします。今回はコンテナを使った環境構築や、非DL系の機械学習ライブラリの移植にも挑戦したいところです,うたたね（ウタタネ）
SAWADA Ryoto,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53170003,え30,https://lh3.googleusercontent.com/7c3_27x4FpMcfztABty4qEH_lFgz_yL87-EcoAnesu5aCvVo4LBBvg5t91-9IJ2A588CdZt-HwxS1uUIfzBu5Q,https://twitter.com/Qhapaq_49,コンピュータ将棋(執筆者は電王トーナメント5位の入賞実績あり)を中心にゲームAIの作り方を解説します。更にAIを用いたゲームの解析方法についても述べます（電子書籍での頒布を予定）,河童2.0（カッパツーポイントオー）
mayah,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/55010003,え31,https://lh3.googleusercontent.com/CLyFBa6XP_oWNG9ikGpFrGf19g9eyy8Oexs3L_O7GmPrEBVaG2C5tG0f5nqUbm_K5ryJGCTK0UCROyCsGgE,http://yuha.jp/,ゲームAI(主にぷよぷよ),YUHA（ユーハ）
select766,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/43280001,え32,https://lh3.googleusercontent.com/p6-7heJxtVPzK2JigT9OaMW7EeUwIl8NlZFVWLx4ZHZB_U4RJB-K0YBJmKZeN2YcDniN8xvv2ixonziMBPMmKg,http://select766.hatenablog.com/,強化学習などの人工知能技術を活用し、ゲームの攻略法を研究します。,ヤマブキ計算所（ヤマブキケイサンジョ）
Keiji ARIYAMA,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47000001,え33,https://lh3.googleusercontent.com/KYLcWw34CwFsngWYFuR7nsrhvWOOKGD1hv9DcbtQYUUSanN5oO5RpJUu_9PsIX5AIMujl6pk3RUT9u2EMjHj,https://blog.keiji.io,TensorFlow本、有ります。,めがねをかけるんだ（メガネヲカケルンダ）
株式会社サイバーエージェント,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29550002,え34,https://lh3.googleusercontent.com/EO6_rAj_Sj4-XRfPl_OqpbvFhVL6ukQeUksnHXcXxyq8UC7wqZHrhY0SKJYhPndwOEvu18Qy5ebyZ8_RV8j_cw,https://creator.game.cyberagent.co.jp/," Unity, C#",株式会社サイバーエージェント（カブシキガイシャサイバーエージェント）
cafeunder,科学技術,https:/techbookfest.org/event/tbf05/circle/30520003,え35,https://lh3.googleusercontent.com/X-ecJLhtu5Mqwn0i84xB6TJcpZNjnnlliOZ9hKjJ7ro3tGEjF1oips-SSHj53Av55AWe8XpOlALk8qYgJ7It-g,https://rosenblockchainers.github.io/index.html,人工知能、進化計算、強化学習を用いた技術同人誌,Rosenblock Chainers（ローゼンブロックチェイナーズ）
InulaiR,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53240004,え36,https://lh3.googleusercontent.com/IiHK001Aw4wR6s79_ssUvRQbSV0KatWV8qDx3Nugy8lhl-If9OCtmInnkt0soIHvpb12W6c--9FJ1GeNyXU,,スパイキングニューロンのシミュレータであるBrian2の使い方を紹介します．スパイキングニューロンとは，生体ニューロンと同じように発火メカニズムによって情報を伝えるニューロンシステムを指します．ディープラーニングよりも実際の神経細胞に近い挙動を見ることができます．,シルク・ドゥ・廉太郎（シルクドゥレンタロウ）
katsyoshi,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/55000001,え37,/assets/images/dummy_cut.png,https://katsyoshi.org,Rubyで機械学習をしながら日本酒の分類,katsyoshi.org（カツヨシオルグ）
未識魚,その他,https:/techbookfest.org/event/tbf05/circle/33160012,え38,https://lh3.googleusercontent.com/cXJd4mmWDADxqZebBZEm_NI6o4Rac3vCyn-1ctX7F4bANwd-oJtNurMTyJx-SqG52ACqwX7rA363GPUUuy2H,http://ofo.jp/,情報理論や統計分析による作画技法論。機械学習など進める際の基礎理論に。,osakana.factory（オサカナファクトリー）
M.K & I.E,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/43300001,え39,https://lh3.googleusercontent.com/KuOhboY0xVuOq-n4Z9zw9rqgDBRGaAXouCspxbPfYSNqpksJJfM5DtMUXZRwQliciqE_BgmnOrGnRDqawz-t,,自然言語処理とネットワーク関連本（word2vec (単語のベクトル化による解析)を用いてTwitterを分析してみた話。 Pythonのネットワーク関連ライブラリ等を使って、TCP/IPを触ってみた話。）,つばめさんチーム（ツバメサンチーム）
rizaudo,科学技術,https:/techbookfest.org/event/tbf05/circle/45010003,え40,/assets/images/dummy_cut.png,,Generative Adversarial Networkを始めとした生成モデルや言語処理系などに関しての多岐にわたる技術記事を編纂した冊子を発行する,Dragon University（ドラゴンユニバーシティ）
minamo,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/25970001,お01,/assets/images/dummy_cut.png,," Alexa, Node.js, TypeScript, AWS",umitsuki（ウミツキ）
ITO,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/27560001,お02,https://lh3.googleusercontent.com/RNweOD-rndmk0STHCiysMR2OAldI7sBf7biPh8Kfz8qgrDosVhY18zDI1sGRHTPQGehuol5Mz6Dyjk79FjOsNg,,この本はAlexaスキルを開発するための技術書です。 スキル開発の中級者向けに、音声ユーザーインターフェース（VUI）の設計、ask-sdk for Node.js バージョン2を使った最新の開発、ask-cliとServerless Frameworkを使って開発からデプロイをシンプルにするテクニックが書かれています。既にスキルを開発したことはあるけれど「スキルの設計から開発までを体系的に学びたい人」や「もっと高度なスキルを作りたい人」向けに書かれた本です。,ITO（イトー）
温泉♨︎BBA,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/29520007,お03,https://lh3.googleusercontent.com/pafy_k2SobtiHauuCUGIpLsCV3W7_ZP136Q81oUVBadRytQqQbP7uEQUGbD6t4-4gYHrKL7DzC6GVbjx8XVH,https://peraichi.com/landing_pages/view/2m390," ボイスUI、スマートスピーカー、スマートデバイス",温泉♨︎BBA（オンセンババア）
yagitch（やぎっち）,ハードウェア全般,https:/techbookfest.org/event/tbf05/circle/32170001,お04,https://lh3.googleusercontent.com/SJBXe3Fj8woF8DgOVaUt5oSQnGvY2Iga_NCvoCphf5iSQGyC2yofyHncHBczfA6Js-MmijnnJTKZBmbEQzqH,,Raspberry PiやAmazon Alexaなどの既製品を組み合わせてスマートホームを自作するための方法解説,yagi.tc（ヤギドットティーシー）
uchan,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/35030001,お05,https://lh3.googleusercontent.com/T-Oi_RDF0vsjPDoBYDiFqbBxM40mjf5LOBlP84xTqFfumge0ffQIX36nWnPgcQjn3TjNDjxgh_lK4aV9W9Uu,,Linux，自作OS，低レイヤ,bitnos（ビットノス）
mopp,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/39020004,お06,https://lh3.googleusercontent.com/kc_urOPvKSbYjIASeQ5rudKluGuYg5Ca2SEGFkzMRdvMXVbBW_KoHhXkmauLIWhRn4d108-zJpMMUtaayne18Q,https://twitter.com/Mopp_jp,メモリ管理,moppris（モプリス）
yohgami,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/43060002,お07,https://lh3.googleusercontent.com/Z8QUwK01P5WP10g1O9UsjI79eMru0rE62MZJBtKiWSH6UCftNPfmzaVNdJrDEnvBZKuswRawwssbhsddLExj,http://yuma.ohgami.jp,いかなる既存のライブラリ等も組み込まないフルスクラッチなOSを、ステップバイステップで作っていく「フルスクラッチで作る」シリーズの最新刊であるHPET使ってスケジューラ作る本と、少しずつ進めていた自作VM入門として/dev/kvmを直接叩く本を技術書典5の新刊として頒布予定です！また、これまでの既刊も持っていきます！,へにゃぺんて（ヘニャペンテ）
風穴 江,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/49040001,お08,https://lh3.googleusercontent.com/xAZ2zW9aOXpFx33G0KLMls0VMpL7Us9mdPSuviwZCbFkGjfykyFrXT8pWwVSsF1_NS2Q3uLIIQBRkgAEMd5S,https://www.facebook.com/windholep/,Linuxカーネル、C言語プログラミング、セキュリティ,windhole（ウィンドホール）
retrage,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/45190001,お09,https://lh3.googleusercontent.com/b1I7xx7KE9eZtZSQTKJRF81Dg3GbGr2hFnZAdyEAkdXcvYeRMrl5TL5qdM_6LzNZ3_8ai7_2huTbgHA10GM,,UEFIの基礎とUEFI stubなLinux kernelの起動プロセスのソースコードレベルでの解説,海洋軟件（カイヨウナンケン）
USP研究所,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/53040001,お10,https://lh3.googleusercontent.com/jpfhLbZdYYmtbJEwtVv6y-XSyQQDF8NV4KEwEt1_3baZ_rGGRC6O3QvIUeqt-86k2lVdAarv9_cr3raJNxIt,https://www.usp-lab.com/pub.html,Linux/UNIX系ITマガジン、C言語やシェルスクリプト関連書籍,USP研究所（ユーエスピーケンキュウジョ）
kyadet,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/47190001,お11,https://lh3.googleusercontent.com/EWJW5pAjgyWvR9WyfoyxbjXkzDPkq02oXKbO9RmN3OzWzTs3ZVkQRjh-Ar3FvCTYZmltbMHDwnNAXNiGccA,http://furthersystem.com,OSSリアルタイムネットワーキング等,ファーザーシステム（ファーザーシステム）
かめねこ,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/51040001,お12,https://lh3.googleusercontent.com/bHqnIUwUlm2K_n2CWJs6xsCJH_EP67OdmLAdy8dweUW5TNy6c0b2QjISl7C0D3B1d88XDnJZtCtsv1wTRwdi,http://www.lab-dev.net/tbf/,インフラチョットデキル人が書いてみます。,lab-devs（ラブデブズ）
hmikisato,ソフトウェア全般,https:/techbookfest.org/event/tbf05/circle/32360001,お13,https://lh3.googleusercontent.com/B0lMjiEVcVCHJPtQ1sJ1J_jw8aacSeZbFPGrfs8Q4tcrwuIBT7Ep2BmrLiPMFLqFQ7EH5AAHdM7yylneiU9C9Q,,分散バージョン管理システム（DVCS）,Cryptic Command（クリプティックコマンド）
